Number,Ticker,Holding Name,Identifier (FIGI),Shares,Asset Class,Market Value (US$),Notional Value,% of Net Assets
1,AEM US,Agnico Eagle Mines Ltd,BBG000DLVDK3,"13,787,444",Stock,"$2,971,332,056.44", -- ,9.07%
2,NEM US,Newmont Corp,BBG000BPWXK1,"23,095,087",Stock,"$2,931,459,392.91", -- ,8.95%
3,B US,Barrick Mining Corp,BBG000BB07P9,"43,596,848",Stock,"$2,269,215,938.40", -- ,6.92%
4,GFI US,Gold Fields Ltd,BBG000KHT4K7,"29,108,342",Stock,"$1,706,039,924.62", -- ,5.21%
5,WPM US,Wheaton Precious Metals Corp,BBG000PVRDL2,"11,103,045",Stock,"$1,695,434,971.50", -- ,5.17%
6,AU US,Anglogold Ashanti Plc,BBG01HGVLP51,"15,166,817",Stock,"$1,623,152,755.34", -- ,4.95%
7,FNV US,Franco-Nevada Corp,BBG000RD3CL8,"6,025,142",Stock,"$1,577,201,421.34", -- ,4.81%
8,KGC US,Kinross Gold Corp,BBG000BB2DM7,"41,226,916",Stock,"$1,508,905,125.60", -- ,4.60%
9,PAAS US,Pan American Silver Corp,BBG000C0RGY3,"20,202,130",Stock,"$1,278,592,807.70", -- ,3.90%
10,NST AU,Northern Star Resources Ltd,BBG000C82NF9,"53,024,114",Stock,"$1,052,064,693.07", -- ,3.21%
11,RGLD US,Royal Gold Inc,BBG000BS5170,"2,910,323",Stock,"$849,756,109.54", -- ,2.59%
12,AGI US,Alamos Gold Inc,BBG009HT6BL4,"18,839,845",Stock,"$793,534,271.40", -- ,2.42%
13,PE&OLES* MF,Industrias Penoles Sab De Cv,BBG000LXSKQ0,"9,617,798",Stock,"$649,189,571.34", -- ,1.98%
14,EQX US,Equinox Gold Corp,BBG004XB7MN9,"37,563,351",Stock,"$601,389,249.51", -- ,1.84%
15,HL US,Hecla Mining Co,BBG000BL5W86,"21,732,085",Stock,"$571,988,477.20", -- ,1.75%
16,EVN AU,Evolution Mining Ltd,BBG000NF2249,"53,303,919",Stock,"$562,069,177.37", -- ,1.72%
17,CDE US,Coeur Mining Inc,BBG000BF8TF5,"22,810,447",Stock,"$560,452,682.79", -- ,1.71%
