Number,Ticker,Holding Name,Identifier (FIGI),Shares,Asset Class,Market Value (US$),Notional Value,% of Net Assets
1,PAAS US,Pan American Silver Corp,BBG000C0RGY3,"12,796,326",Stock,"$809,879,472.54", -- ,6.83%
2,CDE US,Coeur Mining Inc,BBG000BF8TF5,"30,634,969",Stock,"$752,701,188.33", -- ,6.35%
3,AGI US,Alamos Gold Inc,BBG009HT6BL4,"15,547,004",Stock,"$654,839,808.48", -- ,5.52%
4,RGLD US,Royal Gold Inc,BBG000BS5170,"2,123,787",Stock,"$620,103,328.26", -- ,5.23%
5,EQX US,Equinox Gold Corp,BBG004XB7MN9,"37,115,201",Stock,"$594,214,368.01", -- ,5.01%
6,PE&OLES* MF,Industrias Penoles Sab De Cv,BBG000LXSKQ0,"5,515,163",Stock,"$372,266,739.63", -- ,3.14%
7,HL US,Hecla Mining Co,BBG000BL5W86,"12,463,495",Stock,"$328,039,188.40", -- ,2.77%
8,EVN AU,Evolution Mining Ltd,BBG000NF2249,"30,574,534",Stock,"$322,396,617.29", -- ,2.72%
9,AG US,First Majestic Silver Corp,BBG000CH7WB8,"12,760,784",Stock,"$321,188,933.28", -- ,2.71%
10,EDV LN,Endeavour Mining Plc,BBG011DVVYT3,"4,774,481",Stock,"$303,983,077.95", -- ,2.56%
11,IAG US,Iamgold Corp,BBG000LL9LQ5,"14,268,228",Stock,"$297,920,600.64", -- ,2.51%
12,HMY US,Harmony Gold Mining Co Ltd,BBG000BX93G1,"11,468,131",Stock,"$280,969,209.50", -- ,2.37%
13,NGD US,New Gold Inc,BBG000KD2ZL5,"21,737,638",Stock,"$263,025,419.80", -- ,2.22%
14,EGO US,Eldorado Gold Corp,BBG000BN7277,"4,567,642",Stock,"$219,977,638.72", -- ,1.85%
15,OGC CN,Oceanagold Corp,BBG000RG1PM3,"5,890,430",Stock,"$215,663,045.18", -- ,1.82%
16,1818 HK,Zhaojin Mining Industry Co Ltd,BBG000DQ77W9,"43,384,200",Stock,"$215,607,188.58", -- ,1.82%
17,DPM CN,Dundee Precious Metals Inc,BBG000G9HTM6,"5,306,175",Stock,"$212,043,450.81", -- ,1.79%
