Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BHP","BHP GROUP LTD","Materials","Equity","211,892,257.32","11.20","211,892,257.32","5,893,852.00","35.95","Australia","Asx - All Markets","USD","1.43","AUD","-"
"RIO","RIO TINTO PLC","Materials","Equity","123,482,342.75","6.53","123,482,342.75","1,309,837.00","94.27","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"FCX","FREEPORT MCMORAN INC","Materials","Equity","108,514,460.73","5.74","108,514,460.73","1,666,121.00","65.13","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GLEN","GLENCORE PLC","Materials","Equity","81,550,025.93","4.31","81,550,025.93","11,665,019.00","6.99","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"VALE3","CIA VALE DO RIO DOCE SH","Materials","Equity","70,402,521.69","3.72","70,402,521.69","4,213,721.00","16.71","Brazil","XBSP","USD","5.23","BRL","-"
"AAL","ANGLO AMERICAN PLC","Materials","Equity","62,566,472.81","3.31","62,566,472.81","1,298,713.00","48.18","United Kingdom","London Stock Exchange","USD","0.73","GBP","-"
"NUE","NUCOR CORP","Materials","Equity","47,913,991.02","2.53","47,913,991.02","266,322.00","179.91","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"RIO","RIO TINTO LTD","Materials","Equity","47,212,594.58","2.50","47,212,594.58","430,748.00","109.61","Australia","Asx - All Markets","USD","1.43","AUD","Jan 02, 1985"
"GMEXICOB","GRUPO MEXICO B","Materials","Equity","43,453,525.21","2.30","43,453,525.21","3,609,048.00","12.04","Mexico","Bolsa Mexicana De Valores","USD","17.33","MXN","-"
"VAL","VALTERRA PLATINUM LTD","Materials","Equity","34,323,447.06","1.81","34,323,447.06","308,286.00","111.34","South Africa","Johannesburg Stock Exchange","USD","15.87","ZAR","-"
"1211","SAUDI ARABIAN MINING","Materials","Equity","32,601,432.16","1.72","32,601,432.16","1,581,781.00","20.61","Saudi Arabia","Saudi Stock Exchange","USD","3.75","SAR","-"
"TECK.B","TECK RESOURCES SUBORDINATE VOTING","Materials","Equity","30,723,288.67","1.62","30,723,288.67","529,388.00","58.04","Canada","Toronto Stock Exchange","USD","1.36","CAD","-"
"MT","ARCELORMITTAL SA","Materials","Equity","29,735,214.38","1.57","29,735,214.38","544,945.00","54.57","France","Euronext Amsterdam","USD","0.84","EUR","-"
"FMG","FORTESCUE LTD","Materials","Equity","29,546,063.07","1.56","29,546,063.07","1,960,752.00","15.07","Australia","Asx - All Markets","USD","1.43","AUD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","29,440,198.42","1.56","29,440,198.42","161,786.00","181.97","United States","NASDAQ","USD","1.00","USD","-"
