Symbol,Security Name,Tier,Price,Change %,Vol,Sec Type,Country,State
AZNCF,ASTRAZENECA PLC ORD,Pink Limited,183.170000,-0.024654,1055,Foreign Ordinary Shares,USA,New York
WOPEF,WOODSIDE ENERGY GROUP LTD,Pink Limited,17.651200,0.103200,745,Foreign Ordinary Shares,Australia,Western Australia
WOLTF,WOLTERS KLUWER NV,Pink Limited,98.884000,0.025236,6981,Foreign Ordinary Shares,The Netherlands,
WTKWY,WOLTERS KLUWER S/ADR,Pink Limited,94.900000,-0.023160,117561,ADRs,The Netherlands,
WELPM,WISC ELEC PWR 6 PR,OTCQB,110.000000,,0,Preferred Stock,USA,Wisconsin
WELPP,WISC ELEC PWR 3.60 PR,OTCQB,65.520000,-0.007273,415,Preferred Stock,USA,Wisconsin
WELX,WINLAND HOLDINGS CORP,OTCID,3.400000,-0.050279,5100,Common Stock,USA,Minnesota
WSRRF,HARRYS MFG INC ORD,Pink Limited,0.038450,,0,Foreign Ordinary Shares,Canada,British Columbia
WBKCY,WESTPAC BKG CORP U/ADR,Pink Limited,0.000000,,0,ADRs,Australia,New South Wales
WEBNF,WESTPAC BANKING CP ORD,Pink Limited,26.560000,-0.029027,2892,Foreign Ordinary Shares,Australia,New South Wales
GFMH,GOLIATH FILM & MEDIA HLDG,Pink Limited,0.003800,,8,Common Stock,USA,Nevada
WFCNP,WELLS FARGO & CO D/E PFD,Pink Limited,2.100000,,0,Preferred Stock,,
WGNR,WEGENER CORP,Pink Limited,0.008392,,0,Common Stock,USA,Georgia
WEBC,WEBCO INDUSTRIES INC,Pink Limited,266.000000,0.003736,2,Common Stock,USA,Oklahoma
WACLF,WACOAL HOLDINGS CORP NEW,Pink Limited,31.360000,,0,Foreign Ordinary Shares,Japan,
WACLY,WACOAL HLDGS SP/ADR,Pink Limited,134.563200,,2400,ADRs,Japan,
WVFC,WVS FINCL CORP,OTCQX,12.882500,,0,Common Stock,USA,Pennsylvania
WTBFA,W T B FINANCIAL CRP A,OTCID,572.000000,,0,Common Stock,USA,Washington
WTBFB,W T B FINANCIAL CRP B,OTCID,378.000000,0.000265,332,Common Stock,USA,Washington
VNORP,VORNADO RLTY TR 6.50 A PR,Pink Limited,66.500000,0.055556,200,Preferred Stock,USA,New York
VLVLY,VOLVO AB UNSP/ADR,Pink Limited,37.030000,0.012856,72401,ADRs,Sweden,
VOLAF,VOLVO AB A,Pink Limited,34.390000,,0,Foreign Ordinary Shares,Sweden,
VOLVF,VOLVO AB B,Pink Limited,36.175000,0.008362,1124,Foreign Ordinary Shares,Sweden,
VLKAF,VOLKSWAGEN AG ORD,Pink Limited,123.885000,0.028946,308,Foreign Ordinary Shares,Germany,
VLKPF,VOLKSWAGEN AG PFD SHS,Pink Limited,122.855000,,0,Preferred Stock,Germany,
VWAGY,VOLKSWAGEN AG UNSP/ADR,Pink Limited,12.390000,0.013912,73838,ADRs,Germany,
VWAPY,VOLKSWAGEN AG PFD UNS/ADR,Pink Limited,12.350000,0.008987,61887,ADRs,Germany,
BNCM,BOUNCE MOBILE SYS INC,OTCID,0.006925,,0,Common Stock,USA,Nevada
BSHI,BOSS HOLDINGS INC,Pink Limited,14.020000,,0,Common Stock,USA,Illinois
VINS,VINDICATOR SILVER LEAD,Pink Limited,0.082140,,0,Common Stock,USA,Idaho
DPLS,DARKPULSE INC,OTCQB,0.023600,-0.090559,305303,Common Stock,USA,Arizona
FEOVF,OCEANIC IRON ORE CORP NEW,Pink Limited,0.600000,-0.037999,8300,Foreign Ordinary Shares,Canada,British Columbia
BLEG,BRANDED LEGACY INC,Pink Limited,0.000400,0.000000,7277650,Common Stock,USA,Florida
VLEEF,VALEO SA ORD NEW,Pink Limited,14.900000,,0,Foreign Ordinary Shares,France,
VLEEY,VALEO SE S/ADR,Pink Limited,7.280000,0.002755,2347,ADRs,France,
UTRX,UNITRONIX CORP,Pink Limited,0.022200,-0.132813,200,Common Stock,USA,New Jersey
UTGN,UTG INC,Pink Limited,55.000000,,0,Common Stock,USA,Kentucky
UMCN,UMC INC,OTCID,0.026500,1.912088,213047,Common Stock,USA,Illinois
UNRG,UNITED ENERGY CRP NEV,OTCID,0.032100,-0.148541,749644,Common Stock,USA,Texas
UAHC,UNITED AMER HEALTHCARE CP,Pink Limited,0.017100,-0.092357,11030,Common Stock,USA,Illinois
KSEZ,KINETIC SEAS INC,OTCQB,0.060000,0.034483,20065,Common Stock,USA,Illinois
UNTC,UNIT CORP,OTCQX,32.976200,0.014965,11362,Common Stock,USA,Oklahoma
UNTCW,UNIT CORP WARRANT 9/27,OTCQX,2.310000,,35,Warrants,USA,Oklahoma
UELMO,UNION ELEC CO 3.70 PR,Pink Limited,60.010000,,8,Preferred Stock,USA,Missouri
UEPCN,UNION ELEC CO 4.75 PR,Pink Limited,77.700000,,5,Preferred Stock,USA,Missouri
UEPCO,UNION ELEC CO 5.50 PR A,Pink Limited,97.115000,,0,Preferred Stock,USA,Missouri
UEPCP,UNION ELEC CO 4.30 PR,Pink Limited,70.500000,,0,Preferred Stock,USA,Missouri
UEPEM,UNION ELEC CO 4 PR,Pink Limited,65.250000,-0.001133,300,Preferred Stock,USA,Missouri
UEPEN,UNION ELEC CO 3.50 PR,Pink Limited,62.000000,0.004049,220,Preferred Stock,USA,Missouri
UEPEO,UNION ELEC CO 4.50 PR,Pink Limited,74.000000,,0,Preferred Stock,USA,Missouri
UEPEP,UNION ELEC CO 4.56 PR,Pink Limited,76.000000,0.011849,100,Preferred Stock,USA,Missouri
UNLYF,UNILEVER PLC GBP,Pink Limited,66.500000,0.011407,1473,Foreign Ordinary Shares,United Kingdom,England
HSTC,HST GLOBAL INC,OTCID,0.990000,,0,Common Stock,USA,Virginia
KLNG,KOIL ENERGY SOLUTIONS INC,OTCQB,2.250000,0.014427,12726,Common Stock,USA,Texas
TRCY,TRI CITY BANKSHARES CORP,OTCID,21.740000,0.035731,2065,Common Stock,USA,Wisconsin
GTMAY,GRUPO TMM SAB  ADR A NEW,Pink Limited,1.701000,,20,ADRs,Mexico,
TCANF,TC ENERGY CORP SER 5 PFD,Pink Limited,5.390000,,0,Preferred Stock,Canada,Alberta
TCENF,TC ENERGY 1ST PFD SER 4,Pink Limited,12.500000,,0,Preferred Stock,Canada,Alberta
TCEYF,TC ENERGY CORP PFD SER 1,Pink Limited,12.150000,,0,Preferred Stock,Canada,Alberta
TCNCF,TC ENERGY CORP PFD SER 11,Pink Limited,0.000000,,0,Preferred Stock,Canada,Alberta
TNCAF,TC ENERGY CORP SER 2 PFD,Pink Limited,14.400000,,0,Preferred Stock,Canada,Alberta
TRPEF,TC ENERGY 1ST PFD SER 3,Pink Limited,10.500000,,0,Preferred Stock,Canada,Alberta
TRPPF,TC ENERGY CP CUM PFD 7,Pink Limited,17.200000,,0,Preferred Stock,Canada,Alberta
TRPRF,TC ENERGY CORP PFD SER 9,Pink Limited,17.118600,,0,Preferred Stock,Canada,Alberta
FECOF,FEC RESOURCES INC ORD,Pink Limited,0.004800,,0,Foreign Ordinary Shares,Canada,British Columbia
TOYOF,TOYOTA MOTOR CORP ORD,Pink Limited,22.400000,-0.015385,1017,Foreign Ordinary Shares,USA,New York
TPRP,TOWER PROPERTIES CO NEW,Pink Limited,28000.000000,,0,Common Stock,USA,Kansas
TOTDF,TOTO LTD ORD,Pink Limited,32.405000,-0.014746,212,Foreign Ordinary Shares,Japan,
TOTDY,TOTO LTD UNSP/ADR,Pink Limited,32.270000,-0.013753,8932,ADRs,Japan,
TDBCP,TORONTO DOM NON CUM PFD 1,Pink Limited,17.500000,,0,Preferred Stock,Canada,Ontario
TROLB,TOOTSIE ROLL INDUS B COM,Pink Limited,35.000000,,0,Common Stock,USA,Illinois
SRCO,SPARTA COMML SVCS INC,OTCQB,0.120100,-0.103731,23608,Common Stock,USA,New York
TKOMF,TOKIO MARINE HLDGS ORD,Pink Limited,36.710000,0.009248,940,Foreign Ordinary Shares,Japan,
TKOMY,TOKIO MARINE HLDGS S/ADR,Pink Limited,37.120000,0.018381,134115,ADRs,Japan,
TOFB,TOFUTTI BRANDS INC,OTCQB,0.820000,,0,Common Stock,USA,New Jersey
TBLMF,TIGER BRANDS LTD ORD,Pink Limited,20.882500,,0,Foreign Ordinary Shares,South Africa,
THMG,THUNDER MOUNTAIN GOLD INC,OTCQB,0.737300,-0.042219,109157,Foreign Ordinary Shares,USA,Idaho
LSANF,LOS ANDES COPPER LTD,OTCQX,12.780000,0.013345,6567,Foreign Ordinary Shares,Canada,British Columbia
THLEF,THALES SPONS ORD,Pink Limited,309.700000,0.003077,428,Foreign Ordinary Shares,France,
THLLY,THALES UNSP ADR,Pink Limited,61.660000,-0.009319,89207,ADRs,France,
MHGU,MERITAGE HOSPTLTY GRP INC,OTCQX,2.300000,-0.021277,163,Common Stock,USA,Michigan
MHGUP,MERITAGE HOSPTLTY PFD B,OTCQX,7.923500,,1,Preferred Stock,USA,Michigan
GMNI,GEMINI GROUP GLOBAL CORP,Pink Limited,0.001200,0.000000,465450,Common Stock,USA,Nevada
TEVJF,TEVA PHARM INDUS LTD ORD,Pink Limited,28.360000,,0,Foreign Ordinary Shares,Israel,
TSCDF,TESCO PLC NEW,OTCQX,5.500000,-0.017857,1271,Foreign Ordinary Shares,United Kingdom,England
TSCDY,TESCO PLC S/ADR,OTCQX,17.470000,0.006916,156313,ADRs,United Kingdom,England
WDRP,WANDERPORT CORP,OTCID,0.000600,-0.142857,7000,Common Stock,USA,Texas
HLTEF,HILAN TECH LTD,Pink Limited,80.650000,,0,Foreign Ordinary Shares,Israel,
TEFOF,TELEFONICA SA ORD,Pink Limited,4.284000,0.065672,560,Foreign Ordinary Shares,Spain,
TELFY,TELEFONICA SA ADR,Pink Limited,4.010000,0.007538,1441358,ADRs,Spain,
NZTCF,SPARK NEW ZEALAND LTD ORD,Pink Limited,1.070000,-0.198502,51216,Foreign Ordinary Shares,New Zealand,
SPKKY,SPARK NZ LTD S/ADR,Pink Limited,6.770000,0.008341,60984,ADRs,New Zealand,
TCMFF,TELECOM ARGENTINA SA,Pink Limited,1.000000,,0,Foreign Ordinary Shares,Argentina,
SCND,SCIENTIFIC INDUSTRIES INC,OTCQB,0.581250,,0,Common Stock,USA,New York
TINLF,TEIJIN LTD ORD,Pink Limited,9.222000,,0,Foreign Ordinary Shares,Japan,
TINLY,TEIJIN LTD ADR,Pink Limited,9.722500,0.021271,244,ADRs,Japan,
TCKRF,TECK RESOURCES LTD ORD,Pink Limited,51.490000,,74,Foreign Ordinary Shares,Canada,British Columbia
FUNN,AMFIL TECHNOLOGIES INC,OTCID,0.001400,0.037037,1204220,Common Stock,Canada,Ontario
RNWF,RENEWAL FUELS INC,OTCID,0.018600,-0.036269,9676402,Common Stock,USA,Delaware
LONCF,LONCOR GOLD INC,OTCQX,0.983060,0.002268,39911,Foreign Ordinary Shares,Canada,Ontario
TYCB,TAYLOR(CLVN B)BKG BRLN MD,OTCQX,54.750000,,0,Common Stock,USA,Maryland
TISCF,TAISEI CORP ORD NEW,Pink Limited,108.160000,,0,Foreign Ordinary Shares,Japan,
TISCY,TAISEI CORP UNSP/ADR,Pink Limited,22.700000,,0,ADRs,Japan,
TTDKF,TDK CORP JPY,Pink Limited,12.880000,0.034538,12964,Foreign Ordinary Shares,Japan,
TTDKY,TDK CORP S/ADR,Pink Limited,12.670000,0.003962,227705,ADRs,Japan,
MDCN,MEDICAN ENTERPRISES INC,Pink Limited,0.000001,,0,Common Stock,USA,California
SWRAF,SWIRE PACIFIC LTD A,Pink Limited,9.300000,,0,Foreign Ordinary Shares,China,
SWRAY,SWIRE PAC LTD A S/ADR,Pink Limited,9.665000,0.012042,29699,ADRs,China,
