Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
COEUR MINING INC,CDE,192108504,2208136,5.816554,-,11427587.000,USD
HECLA MINING CO,HL,422704106,2418601,5.788630,-,10616562.000,USD
URANIUM ENERGY CORP,UEC,916896103,B0VLLY2,5.442728,-,14125300.000,USD
FREEPORT MCMORAN INC,FCX,35671D857,2352118,5.300975,-,3928879.000,USD
ROYAL GOLD INC,RGLD,780287108,2755706,5.271225,-,871470.000,USD
ALCOA CORP,AA,013872106,BYNF418,5.135738,-,4088252.000,USD
NEWMONT CORP,NEM,651639106,2636607,5.083513,-,1933275.000,USD
PEABODY ENERGY CORP,BTU,704551100,BDVPZV0,4.454883,-,5951991.000,USD
RELIANCE INC,RS,759509102,2729068,4.348309,-,631680.000,USD
WARRIOR MET COAL INC,HCC,93627C101,BF2X272,4.336258,-,2272985.000,USD
CORE NATURAL RESOURCES INC,CNR,218937100,BR1Z682,4.327324,-,2179094.000,USD
CENTRUS ENERGY CORP CLASS A,LEU,15643U104,BQXKDH6,4.308218,-,689770.000,USD
COMMERCIAL METALS CO,CMC,201723103,2213260,4.236582,-,2623238.000,USD
CLEVELAND CLIFFS INC,CLF,185899101,BYVZ186,4.230139,-,14369924.000,USD
NUCOR CORP,NUE,670346105,2651086,4.138986,-,1110536.000,USD
MP MATERIALS CORP,MP,553368101,BN15Y35,4.049702,-,3144894.000,USD
STEEL DYNAMICS INC,STLD,858119100,2849472,4.017606,-,1065765.000,USD
CENTURY ALUMINUM COMPANY,CENX,156431108,2186254,2.704856,-,2668473.000,USD
ALPHA METALLURGICAL RESOURCE,AMR,020764106,BMFND53,2.230564,-,487078.000,USD
IVANHOE ELECTRIC INC / US,IE,46578C108,BPF0KH6,2.077492,-,5034356.000,USD
USA RARE EARTH INC,USAR,91733P107,BSBGKF7,1.753593,-,3835487.000,USD
MATERION CORP,MTRN,576690101,2149622,1.449172,-,492913.000,USD
MCEWEN INC,MUX,58039P305,BQGD8H7,1.316719,-,2298751.000,USD
UNITED STATES ANTIMONY CORP,UAMY,911549103,2910668,1.069459,-,6227353.000,USD
KAISER ALUMINUM CORP,KALU,483007704,B15CJ33,0.892247,-,339351.000,USD
RAMACO RESOURCES INC A,METC,75134P600,BRXYZ91,0.812133,-,1963103.000,USD
COMPASS MINERALS INTERNATION,CMP,20451N101,2202763,0.793268,-,1482482.000,USD
UR ENERGY INC,URG,91688R108,B0WW4L2,0.657951,-,16716055.000,USD
SUNCOKE ENERGY INC,SXC,86722A103,B3R0638,0.649178,-,3946730.000,USD
IDAHO STRATEGIC RESOURCES IN,IDR,645827205,BMB5CZ6,0.618230,-,722944.000,USD
WORTHINGTON STEEL INC,WS,982104101,BS70KN1,0.603196,-,725215.000,USD
LIGHTBRIDGE CORP,LTBR,53224K302,BKDNG30,0.551556,-,1611172.000,USD
AMERICAN BATTERY TECHNOLOGY,ABAT,02451V309,BQC80B4,0.549902,-,6144622.000,USD
RYERSON HOLDING CORP,RYI,783754104,B3TPPZ6,0.489881,-,837969.000,USD
METALLUS INC,MTUS,887399103,BNBPMX1,0.427457,-,1038980.000,USD
